[VAMS][2017-01-05 17:21:12,003] INFO | 连接空闲中 | [NioProcessor-4] serverHandler.ChatServerHandler.sessionIdle(68)
[VAMS][2017-01-05 17:21:12,010] INFO | 连接空闲中 | [NioProcessor-4] serverHandler.ChatServerHandler.sessionIdle(68)
[VAMS][2017-01-05 17:21:12,010] INFO | IDLE | [NioProcessor-4] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2017-01-05 17:21:12,010] INFO | 连接空闲中 | [NioProcessor-4] serverHandler.ChatServerHandler.sessionIdle(68)
[VAMS][2017-01-05 17:21:12,010] INFO | IDLE | [NioProcessor-4] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2017-01-05 17:21:12,010] INFO | 连接空闲中 | [NioProcessor-4] serverHandler.ChatServerHandler.sessionIdle(68)
[VAMS][2017-01-05 17:21:12,010] INFO | IDLE | [NioProcessor-4] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2017-01-05 17:21:12,010] INFO | 连接空闲中 | [NioProcessor-4] serverHandler.ChatServerHandler.sessionIdle(68)
[VAMS][2017-01-05 17:21:12,010] INFO | IDLE | [NioProcessor-4] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2017-01-05 17:21:12,011] INFO | 连接空闲中 | [NioProcessor-4] serverHandler.ChatServerHandler.sessionIdle(68)
[VAMS][2017-01-05 17:21:12,011] INFO | IDLE | [NioProcessor-4] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2017-01-05 17:21:12,011] INFO | 连接空闲中 | [NioProcessor-4] serverHandler.ChatServerHandler.sessionIdle(68)
[VAMS][2017-01-05 17:21:12,011] INFO | IDLE | [NioProcessor-4] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2017-01-05 17:21:12,011] INFO | 连接空闲中 | [NioProcessor-4] serverHandler.ChatServerHandler.sessionIdle(68)
[VAMS][2017-01-05 17:21:12,011] INFO | IDLE | [NioProcessor-4] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2017-01-05 17:21:12,011] INFO | 连接空闲中 | [NioProcessor-4] serverHandler.ChatServerHandler.sessionIdle(68)
[VAMS][2017-01-05 17:21:12,011] INFO | IDLE | [NioProcessor-4] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2017-01-05 17:21:12,011] INFO | 连接空闲中 | [NioProcessor-4] serverHandler.ChatServerHandler.sessionIdle(68)
[VAMS][2017-01-05 17:21:12,011] INFO | IDLE | [NioProcessor-4] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2017-01-05 17:21:12,012] INFO | 连接空闲中 | [NioProcessor-4] serverHandler.ChatServerHandler.sessionIdle(68)
[VAMS][2017-01-05 17:21:12,012] INFO | IDLE | [NioProcessor-4] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2017-01-05 17:21:12,012] INFO | 连接空闲中 | [NioProcessor-4] serverHandler.ChatServerHandler.sessionIdle(68)
[VAMS][2017-01-05 17:21:12,012] INFO | IDLE | [NioProcessor-4] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2017-01-05 17:21:12,012] INFO | 连接空闲中 | [NioProcessor-4] serverHandler.ChatServerHandler.sessionIdle(68)
[VAMS][2017-01-05 17:21:12,012] INFO | IDLE | [NioProcessor-4] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2017-01-05 17:21:12,012] INFO | 连接空闲中 | [NioProcessor-4] serverHandler.ChatServerHandler.sessionIdle(68)
[VAMS][2017-01-05 17:21:12,012] INFO | IDLE | [NioProcessor-4] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2017-01-05 17:21:12,012] INFO | 连接空闲中 | [NioProcessor-4] serverHandler.ChatServerHandler.sessionIdle(68)
[VAMS][2017-01-05 17:21:12,012] INFO | IDLE | [NioProcessor-4] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2017-01-05 17:21:12,012] INFO | 连接空闲中 | [NioProcessor-4] serverHandler.ChatServerHandler.sessionIdle(68)
[VAMS][2017-01-05 17:21:12,013] INFO | IDLE | [NioProcessor-4] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2017-01-05 17:21:12,013] INFO | 连接空闲中 | [NioProcessor-4] serverHandler.ChatServerHandler.sessionIdle(68)
[VAMS][2017-01-05 17:21:12,013] INFO | IDLE | [NioProcessor-4] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2017-01-05 17:21:12,013] INFO | 连接空闲中 | [NioProcessor-4] serverHandler.ChatServerHandler.sessionIdle(68)
[VAMS][2017-01-05 17:21:12,013] INFO | IDLE | [NioProcessor-4] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2017-01-05 17:21:12,013] INFO | 连接空闲中 | [NioProcessor-4] serverHandler.ChatServerHandler.sessionIdle(68)
[VAMS][2017-01-05 17:21:12,013] INFO | IDLE | [NioProcessor-4] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2017-01-05 17:21:12,013] INFO | 连接空闲中 | [NioProcessor-4] serverHandler.ChatServerHandler.sessionIdle(68)
[VAMS][2017-01-05 17:21:12,013] INFO | IDLE | [NioProcessor-4] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2017-01-05 17:21:12,013] INFO | 连接空闲中 | [NioProcessor-4] serverHandler.ChatServerHandler.sessionIdle(68)
[VAMS][2017-01-05 17:21:12,013] INFO | IDLE | [NioProcessor-4] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2017-01-05 17:21:12,014] INFO | 连接空闲中 | [NioProcessor-4] serverHandler.ChatServerHandler.sessionIdle(68)
[VAMS][2017-01-05 17:21:12,014] INFO | IDLE | [NioProcessor-4] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2017-01-05 17:21:12,014] INFO | 连接空闲中 | [NioProcessor-4] serverHandler.ChatServerHandler.sessionIdle(68)
[VAMS][2017-01-05 17:21:12,015] DEBUG | Processing a MESSAGE_RECEIVED for session 6793 | [NioProcessor-4] org.apache.mina.filter.codec.ProtocolCodecFilter.messageReceived(211)
[VAMS][2017-01-05 17:21:12,015] INFO | RECEIVED: Message [Length = 195, sendId = 8, receiverId = 0, messageType = 16, content = {"friendName":"Client1793","groupName":"","message":"Msg from :Client-0 to: Client1793 time:2017-01-05 05:21:11","pwd":"12345678","pwdEncypt":"MTIzNDU2Nzg=","userName":"Client-0"}] | [NioProcessor-4] org.apache.mina.filter.logging.LoggingFilter.log(157)
[VAMS][2017-01-05 17:21:12,016] WARN | Property 'pwdEncypt' of class model.Login has no write method. SKIPPED. | [NioProcessor-4] net.sf.json.JSONObject.toBean(350)
[VAMS][2017-01-05 17:21:12,031] INFO | 接受消息成功 | [NioProcessor-4] serverHandler.ChatServerHandler.messageReceived(459)
[VAMS][2017-01-05 17:21:12,091] INFO | CREATED | [NioProcessor-5] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2017-01-05 17:21:12,091] INFO | 创建连接 | [NioProcessor-5] serverHandler.ChatServerHandler.sessionCreated(39)
[VAMS][2017-01-05 17:21:12,091] INFO | OPENED | [NioProcessor-5] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2017-01-05 17:21:12,091] INFO | 打开连接 | [NioProcessor-5] serverHandler.ChatServerHandler.sessionOpened(43)
[VAMS][2017-01-05 17:21:12,092] DEBUG | Processing a MESSAGE_RECEIVED for session 6794 | [NioProcessor-5] org.apache.mina.filter.codec.ProtocolCodecFilter.messageReceived(211)
[VAMS][2017-01-05 17:21:12,092] INFO | RECEIVED: Message [Length = 195, sendId = 8, receiverId = 0, messageType = 16, content = {"friendName":"Client1794","groupName":"","message":"Msg from :Client-0 to: Client1794 time:2017-01-05 05:21:12","pwd":"12345678","pwdEncypt":"MTIzNDU2Nzg=","userName":"Client-0"}] | [NioProcessor-5] org.apache.mina.filter.logging.LoggingFilter.log(157)
[VAMS][2017-01-05 17:21:12,093] WARN | Property 'pwdEncypt' of class model.Login has no write method. SKIPPED. | [NioProcessor-5] net.sf.json.JSONObject.toBean(350)
[VAMS][2017-01-05 17:21:12,107] INFO | 接受消息成功 | [NioProcessor-5] serverHandler.ChatServerHandler.messageReceived(459)
[VAMS][2017-01-05 17:21:12,200] INFO | CREATED | [NioProcessor-1] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2017-01-05 17:21:12,200] INFO | 创建连接 | [NioProcessor-1] serverHandler.ChatServerHandler.sessionCreated(39)
[VAMS][2017-01-05 17:21:12,200] INFO | OPENED | [NioProcessor-1] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2017-01-05 17:21:12,200] INFO | 打开连接 | [NioProcessor-1] serverHandler.ChatServerHandler.sessionOpened(43)
[VAMS][2017-01-05 17:21:12,201] INFO | IDLE | [NioProcessor-1] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2017-01-05 17:21:12,201] INFO | 连接空闲中 | [NioProcessor-1] serverHandler.ChatServerHandler.sessionIdle(68)
[VAMS][2017-01-05 17:21:12,201] INFO | IDLE | [NioProcessor-1] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2017-01-05 17:21:12,201] INFO | 连接空闲中 | [NioProcessor-1] serverHandler.ChatServerHandler.sessionIdle(68)
[VAMS][2017-01-05 17:21:12,201] INFO | IDLE | [NioProcessor-1] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2017-01-05 17:21:12,201] INFO | 连接空闲中 | [NioProcessor-1] serverHandler.ChatServerHandler.sessionIdle(68)
[VAMS][2017-01-05 17:21:12,201] INFO | IDLE | [NioProcessor-1] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2017-01-05 17:21:12,201] INFO | 连接空闲中 | [NioProcessor-1] serverHandler.ChatServerHandler.sessionIdle(68)
[VAMS][2017-01-05 17:21:12,202] INFO | IDLE | [NioProcessor-1] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2017-01-05 17:21:12,202] INFO | 连接空闲中 | [NioProcessor-1] serverHandler.ChatServerHandler.sessionIdle(68)
[VAMS][2017-01-05 17:21:12,202] INFO | IDLE | [NioProcessor-1] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2017-01-05 17:21:12,202] INFO | 连接空闲中 | [NioProcessor-1] serverHandler.ChatServerHandler.sessionIdle(68)
[VAMS][2017-01-05 17:21:12,202] INFO | IDLE | [NioProcessor-1] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2017-01-05 17:21:12,202] INFO | 连接空闲中 | [NioProcessor-1] serverHandler.ChatServerHandler.sessionIdle(68)
[VAMS][2017-01-05 17:21:12,202] INFO | IDLE | [NioProcessor-1] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2017-01-05 17:21:12,202] INFO | 连接空闲中 | [NioProcessor-1] serverHandler.ChatServerHandler.sessionIdle(68)
[VAMS][2017-01-05 17:21:12,203] INFO | IDLE | [NioProcessor-1] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2017-01-05 17:21:12,203] INFO | 连接空闲中 | [NioProcessor-1] serverHandler.ChatServerHandler.sessionIdle(68)
[VAMS][2017-01-05 17:21:12,203] INFO | IDLE | [NioProcessor-1] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2017-01-05 17:21:12,203] INFO | 连接空闲中 | [NioProcessor-1] serverHandler.ChatServerHandler.sessionIdle(68)
[VAMS][2017-01-05 17:21:12,203] INFO | IDLE | [NioProcessor-1] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2017-01-05 17:21:12,203] INFO | 连接空闲中 | [NioProcessor-1] serverHandler.ChatServerHandler.sessionIdle(68)
[VAMS][2017-01-05 17:21:12,203] INFO | IDLE | [NioProcessor-1] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2017-01-05 17:21:12,203] INFO | 连接空闲中 | [NioProcessor-1] serverHandler.ChatServerHandler.sessionIdle(68)
[VAMS][2017-01-05 17:21:12,204] INFO | IDLE | [NioProcessor-1] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2017-01-05 17:21:12,204] INFO | 连接空闲中 | [NioProcessor-1] serverHandler.ChatServerHandler.sessionIdle(68)
[VAMS][2017-01-05 17:21:12,204] INFO | IDLE | [NioProcessor-1] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2017-01-05 17:21:12,204] INFO | 连接空闲中 | [NioProcessor-1] serverHandler.ChatServerHandler.sessionIdle(68)
[VAMS][2017-01-05 17:21:12,204] INFO | IDLE | [NioProcessor-1] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2017-01-05 17:21:12,204] INFO | 连接空闲中 | [NioProcessor-1] serverHandler.ChatServerHandler.sessionIdle(68)
[VAMS][2017-01-05 17:21:12,204] INFO | IDLE | [NioProcessor-1] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2017-01-05 17:21:12,204] INFO | 连接空闲中 | [NioProcessor-1] serverHandler.ChatServerHandler.sessionIdle(68)
[VAMS][2017-01-05 17:21:12,204] INFO | IDLE | [NioProcessor-1] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2017-01-05 17:21:12,204] INFO | 连接空闲中 | [NioProcessor-1] serverHandler.ChatServerHandler.sessionIdle(68)
[VAMS][2017-01-05 17:21:12,205] INFO | IDLE | [NioProcessor-1] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2017-01-05 17:21:12,205] INFO | 连接空闲中 | [NioProcessor-1] serverHandler.ChatServerHandler.sessionIdle(68)
[VAMS][2017-01-05 17:21:12,205] INFO | IDLE | [NioProcessor-1] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2017-01-05 17:21:12,205] INFO | 连接空闲中 | [NioProcessor-1] serverHandler.ChatServerHandler.sessionIdle(68)
[VAMS][2017-01-05 17:21:12,205] INFO | IDLE | [NioProcessor-1] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2017-01-05 17:21:12,205] INFO | 连接空闲中 | [NioProcessor-1] serverHandler.ChatServerHandler.sessionIdle(68)
[VAMS][2017-01-05 17:21:12,206] INFO | IDLE | [NioProcessor-1] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2017-01-05 17:21:12,206] INFO | 连接空闲中 | [NioProcessor-1] serverHandler.ChatServerHandler.sessionIdle(68)
[VAMS][2017-01-05 17:21:12,206] INFO | IDLE | [NioProcessor-1] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2017-01-05 17:21:12,206] INFO | 连接空闲中 | [NioProcessor-1] serverHandler.ChatServerHandler.sessionIdle(68)
[VAMS][2017-01-05 17:21:12,206] INFO | IDLE | [NioProcessor-1] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2017-01-05 17:21:12,207] INFO | 连接空闲中 | [NioProcessor-1] serverHandler.ChatServerHandler.sessionIdle(68)
[VAMS][2017-01-05 17:21:12,207] INFO | IDLE | [NioProcessor-1] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2017-01-05 17:21:12,207] INFO | 连接空闲中 | [NioProcessor-1] serverHandler.ChatServerHandler.sessionIdle(68)
[VAMS][2017-01-05 17:21:12,207] INFO | IDLE | [NioProcessor-1] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2017-01-05 17:21:12,207] INFO | 连接空闲中 | [NioProcessor-1] serverHandler.ChatServerHandler.sessionIdle(68)
[VAMS][2017-01-05 17:21:12,207] INFO | IDLE | [NioProcessor-1] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2017-01-05 17:21:12,207] INFO | 连接空闲中 | [NioProcessor-1] serverHandler.ChatServerHandler.sessionIdle(68)
[VAMS][2017-01-05 17:21:12,207] INFO | IDLE | [NioProcessor-1] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2017-01-05 17:21:12,207] INFO | 连接空闲中 | [NioProcessor-1] serverHandler.ChatServerHandler.sessionIdle(68)
[VAMS][2017-01-05 17:21:12,208] INFO | IDLE | [NioProcessor-1] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2017-01-05 17:21:12,208] INFO | 连接空闲中 | [NioProcessor-1] serverHandler.ChatServerHandler.sessionIdle(68)
[VAMS][2017-01-05 17:21:12,208] INFO | IDLE | [NioProcessor-1] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2017-01-05 17:21:12,208] INFO | 连接空闲中 | [NioProcessor-1] serverHandler.ChatServerHandler.sessionIdle(68)
[VAMS][2017-01-05 17:21:12,210] DEBUG | Processing a MESSAGE_RECEIVED for session 6795 | [NioProcessor-1] org.apache.mina.filter.codec.ProtocolCodecFilter.messageReceived(211)
[VAMS][2017-01-05 17:21:12,210] INFO | RECEIVED: Message [Length = 195, sendId = 8, receiverId = 0, messageType = 16, content = {"friendName":"Client1795","groupName":"","message":"Msg from :Client-0 to: Client1795 time:2017-01-05 05:21:12","pwd":"12345678","pwdEncypt":"MTIzNDU2Nzg=","userName":"Client-0"}] | [NioProcessor-1] org.apache.mina.filter.logging.LoggingFilter.log(157)
[VAMS][2017-01-05 17:21:12,210] WARN | Property 'pwdEncypt' of class model.Login has no write method. SKIPPED. | [NioProcessor-1] net.sf.json.JSONObject.toBean(350)
[VAMS][2017-01-05 17:21:12,225] INFO | 接受消息成功 | [NioProcessor-1] serverHandler.ChatServerHandler.messageReceived(459)
[VAMS][2017-01-05 17:21:12,312] INFO | CREATED | [NioProcessor-2] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2017-01-05 17:21:12,312] INFO | 创建连接 | [NioProcessor-2] serverHandler.ChatServerHandler.sessionCreated(39)
[VAMS][2017-01-05 17:21:12,312] INFO | OPENED | [NioProcessor-2] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2017-01-05 17:21:12,312] INFO | 打开连接 | [NioProcessor-2] serverHandler.ChatServerHandler.sessionOpened(43)
[VAMS][2017-01-05 17:21:12,312] INFO | IDLE | [NioProcessor-2] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2017-01-05 17:21:12,312] INFO | 连接空闲中 | [NioProcessor-2] serverHandler.ChatServerHandler.sessionIdle(68)
[VAMS][2017-01-05 17:21:12,312] INFO | IDLE | [NioProcessor-2] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2017-01-05 17:21:12,312] INFO | 连接空闲中 | [NioProcessor-2] serverHandler.ChatServerHandler.sessionIdle(68)
[VAMS][2017-01-05 17:21:12,313] INFO | IDLE | [NioProcessor-2] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2017-01-05 17:21:12,313] INFO | 连接空闲中 | [NioProcessor-2] serverHandler.ChatServerHandler.sessionIdle(68)
[VAMS][2017-01-05 17:21:12,313] INFO | IDLE | [NioProcessor-2] org.apache.mina.filter.logging.LoggingFilter.log(186)
[VAMS][2017-01-05 17:21:12,313] INFO | 连接空闲中 | [NioProcessor-2] serverHandler.ChatServerHandler.sessionIdle(68)
